project_key,mp_name_canonical,work_clean,category,state,constituency,ida,block,village,locality,recommended_date,allocation_amount_numeric,model_risk_level,model_risk_score,model_duplicate_score,model_financial_score,model_split_sanction_score,model_pending_score,same_work_same_locality_count,same_work_same_block_count,same_work_same_constituency_count,same_ida_locality_7day_sub5l_count,same_mp_locality_7day_sub5l_count,same_ida_same_day_count,amount_vs_category_median_ratio,amount_vs_state_category_median_ratio,is_near_5_lakh,status,ida_approval,model_reasons,manual_review_label,manual_review_notes,recommended_action
5f35478f66a6bd06,Santanu Sen,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE NADIA_IDA,Chakdah,Ghetu Gachhi,"Chakdah, Ghetu Gachhi",2023-12-21,8492987,YELLOW,40.4,3,100.0,0,45,1,1,482,0,0,2,21.2325,42.4649,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
28c31486e3f1661f,Subrata Bakshi,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE JALPAIGURI_IDA,Maynaguri,Saptibari,"Maynaguri, Saptibari",2023-12-20,8000000,YELLOW,40.4,3,100.0,0,45,1,2,482,0,0,2,20.0,40.0,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
df44c65b4e5849a8,Rajendra Agrawal,Construction of cycle tracks and segregated non-motorized vehicle (NMV) lanes,Normal/Others,Uttar Pradesh,MEERUT,DISTRICT MAGISTRATE MEERUT_IDA,,,"Meerut, 2",2023-09-16,7738000,YELLOW,35.9,3,100.0,0,0,1,0,5,0,0,2,19.345,34.4677,false,Sanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
84aeb769e4a38f39,Abir Ranjan Biswas,"Construction of roads, approach roads, link roads and pathways",Normal/Others,West Bengal,SITTING RAJYA SABHA,DISTRICT MAGISTRATE MALDA_IDA,Habibpur,Habibpur,"Habibpur, Habibpur",2023-12-21,7697158,YELLOW,61.7,74,100.0,0,45,3,3,482,0,0,1,19.2429,38.4858,false,Unsanctioned,Action Pending,Repeated work appears in same locality or exact duplicate group | Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
93a1f96c3c52325a,Krishna Pal Singh Yadav,Purchase of mobile water tankers,Normal/Others,Madhya Pradesh,GUNA,DISTRICT COLLECTOR ASHOKNAGAR_IDA,,,"Mungaoli, All",2023-12-28,7601375,YELLOW,40.4,3,100.0,0,45,1,0,9,0,0,2,19.0034,25.4227,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
11bc44d08be7f0e6,S Jaishankar,"Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers",Normal/Others,Gujarat,SITTING RAJYA SABHA,DISTRICT COLLECTOR NARMADA_IDA,Garudeshwar,Amadla,"Garudeshwar, Amadla",2023-08-14,7500000,YELLOW,35.9,3,100.0,0,0,1,1,8,0,0,3,18.75,18.75,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
8faa348b00e77b41,Vijayakumar Vasanth,Construction of culverts and bridges,Normal/Others,Tamil Nadu,KANNIYAKUMARI,DISTRICT COLLECTOR KANNIYAKUMARI_IDA,,,"Thiruvattar, 8",2023-09-21,7500000,YELLOW,35.9,3,100.0,0,0,1,0,1,0,0,2,18.75,15.0,false,,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
5ccf3bade74b9471,Rebati Tripura,Purchase of sports equipment,Normal/Others,Tripura,TRIPURA EAST(ST),DISTRICT MAGISTRATE DHALAI_IDA,Manu,Manu,"Manu, Manu",2023-06-01,7500000,YELLOW,35.9,3,100.0,0,0,1,1,1,0,0,3,18.75,19.1816,false,Unsanctioned,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
c8e5c8ff6a07842f,Satyadev Pachauri,Lighting of public spaces,Normal/Others,Uttar Pradesh,KANPUR,DISTRICT MAGISTRAE KANPUR NAGAR_IDA,,,,2023-08-04,6774039,YELLOW,35.0,0,100.0,0,0,0,0,1,0,0,1,16.9351,30.1739,false,,Approved by IDA,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution,,,
e054ef43577ab8be,Rebati Tripura,"Purchase of smart boards, visual display units and projectors",Normal/Others,Tripura,TRIPURA EAST(ST),DISTRICT MAGISTRATE DHALAI_IDA,Durgachowmuhani,Chotosurma,"Durgachowmuhani, Chotosurma",2023-10-15,6752000,YELLOW,40.4,3,100.0,0,45,1,1,1,0,0,1,16.88,17.2685,false,Unsanctioned,Action Pending,Allocation amount is high compared with trained category/state distribution | Financial pattern is unusual against the IsolationForest train distribution | Project is unsanctioned with action pending,,,
