Sr. No.,State,Hon'ble Members of Parliament,Elected/Nominated,Allocated AMOUNT ( ₹ )
203,Maharashtra,Shri Vinod Shridhar Tawde (2026-32) (2026-2032),Elected MP,49000000
209,Uttar Pradesh,Smt. Jaya Amitabh Bachchan (2024-30) (2024-2030),Elected MP,147000000
175,West Bengal,Shri Samirul Islam (2023-29) (2023-2029),Elected MP,171500000
165,Assam,Shri Rwngwra Narzary (2022-28) (2022-2028),Elected MP,220563957.11
64,Maharashtra,Shri Chandrakant Damodar Handore (2024-30) (2024-2030),Elected MP,147000000
66,Tamil Nadu,Shri Christopher Manickam (2026-32) (2026-2032),Elected MP,49356476.5
125,Rajasthan,Shri Mukul Wasnik (2022-28) (2022-2028),Elected MP,196063957.11
231,Madhya Pradesh,Smt. Sumitra Balmik (2022-28) (2022-2028),Elected MP,196063957.11
47,Telangana,Shri Anil Kumar Yadav Mandadi (2024-30) (2024-2030),Elected MP,147000000
52,Odisha,Shri Ashwini Vaishnaw (2024-30) (2024-2030),Elected MP,265563957.11
211,Chhattisgarh,Smt. Laxmi Verma (2026-32) (2026-2032),Elected MP,49000000
200,Bihar,Shri Upendra Kushwaha (2026-32) (2026-2032),Elected MP,49000000
131,Rajasthan,Shri Neeraj Dangi (2026-32) (2026-2032),Elected MP,49000000
163,Uttar Pradesh,Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030),Elected MP,147000000
123,Uttar Pradesh,Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,196063957.11
126,West Bengal,Shri Nagendra Ray (2023-29) (2023-2029),Elected MP,171500000
135,Tamil Nadu,Shri P. Chidambaram (2022-28) (2022-2028),Elected MP,236312242.52
158,Maharashtra,Shri Ramdas Bandu Athawale (2026-32) (2026-2032),Elected MP,49000000
96,Assam,Shri Jogen Mohan (2026-32) (2026-2032),Elected MP,49000000
176,Andhra Pradesh,Shri Sana Sathish Babu (2026-32) (2026-2032),Elected MP,49063978
166,Andhra Pradesh,Shri Ryaga Krishnaiah (2024-28) (2024-2028),Elected MP,170413583.79
34,Karnataka,Dr. Syed Naseer Hussain (2024-30) (2024-2030),Elected MP,147000000
150,Punjab,Shri Raghav Chadha (2022-28) (2022-2028),Elected MP,237229207.25
178,Haryana,Shri Sanjay Bhatia (2026-32) (2026-2032),Elected MP,49000000
102,Haryana,Shri Karamvir Singh Singh Boudh (2026-32) (2026-2032),Elected MP,49000000
128,Karnataka,Shri Narayanasa K. Bhandage (2024-30) (2024-2030),Elected MP,147450000
133,Maharashtra,Shri Nitin Laxmanrao Jadhav Patil (2024-28) (2024-2028),Elected MP,122500000
168,Gujarat,Shri S. Jaishankar (2023-29) (2023-2029),Elected MP,171500000
55,Gujarat,Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029),Elected MP,171500000
17,Madhya Pradesh,Dr. L. Murugan (2024-30) (2024-2030),Elected MP,147000000
199,Maharashtra,Shri Ujjwal Deorao Nikam (2025-31) (2025-2031),Nominated MP,73500000
103,Haryana,Shri Kartikeya Sharma (2022-28) (2022-2028),Elected MP,196000000
81,Jammu And Kashmir,Shri Gurwinder Singh Oberoi (2025-31) (2025-2031),Elected MP,73500000
216,Karnataka,Smt. Nirmala Sitharaman (2022-28) (2022-2028),Elected MP,215972051.45
Grand Total,,,,33613347899.82
15,Uttarakhand,Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,200830405.8
84,Kerala,Shri Haris Beeran (2024-30) (2024-2030),Elected MP,122500000
201,Andhra Pradesh,Shri V. Vijayendra Prasad (2022-28) (2022-2028),Nominated MP,196063957.11
70,Odisha,Shri Debashish Samantaray (2026-30) (2026-2030),Elected MP,23800006
170,Puducherry,Shri S. Selvaganabathy (2021-27) (2021-2027),Elected MP,292881856.49
